country_code,country_name,canonical_name,name,name_type
fr,フランス共和国,オラノ・リサイクラージュ,オラノ・リサイクラージュ,canonical
fr,フランス共和国,オラノ・リサイクラージュ,Orano Recyclage,alias
no,ノルウェー王国,コングスベルグ・サテライト・サービス(KSAT),コングスベルグ・サテライト・サービス(KSAT),canonical
no,ノルウェー王国,コングスベルグ・サテライト・サービス(KSAT),Kongsberg Satellite Services,alias
no,ノルウェー王国,コングスベルグ・サテライト・サービス(KSAT),KSAT,alias
no,ノルウェー王国,アーカー・ソリューションズ・マレーシア,アーカー・ソリューションズ・マレーシア,canonical
no,ノルウェー王国,アーカー・ソリューションズ・マレーシア,Aker Solutions Malaysia,alias
gb,イギリス,メトロール・テクノロジー,メトロール・テクノロジー,canonical
gb,イギリス,メトロール・テクノロジー,Metrol Technology,alias
cn,中華人民共和国,上海船舶設計研究院(SDARI),上海船舶設計研究院(SDARI),canonical
cn,中華人民共和国,上海船舶設計研究院(SDARI),Shanghai Merchant Ship Design & Research Institute,alias
us,アメリカ合衆国,ドノホー建設,ドノホー建設,canonical
us,アメリカ合衆国,ドノホー建設,Donohoe Construction Company,alias
jp,日本,土屋コリア,土屋コリア,canonical
jp,日本,土屋コリア,TSUCHIYA KOREA,alias
jp,日本,森ビル・パロアルト,森ビル・パロアルト,canonical
jp,日本,森ビル・パロアルト,Mori Building Palo Alto,alias
us,アメリカ合衆国,ノートン・リリー・インターナショナル,ノートン・リリー・インターナショナル,canonical
us,アメリカ合衆国,ノートン・リリー・インターナショナル,NORTON LILLY INTERNATIONAL,alias
dk,デンマーク,マースク・トレーニング,マースク・トレーニング,canonical
dk,デンマーク,マースク・トレーニング,Maersk Training,alias
us,アメリカ合衆国,フォーカス・デザイン・ビルダーズ,フォーカス・デザイン・ビルダーズ,canonical
us,アメリカ合衆国,フォーカス・デザイン・ビルダーズ,Focus Design Builders,alias
us,アメリカ合衆国,DNXベンチャーズ管理会社,DNXベンチャーズ管理会社,canonical
us,アメリカ合衆国,DNXベンチャーズ管理会社,DNX Management Company,alias
us,アメリカ合衆国,エネルギー・インテリジェンス・グループ,エネルギー・インテリジェンス・グループ,canonical
us,アメリカ合衆国,エネルギー・インテリジェンス・グループ,Energy Intelligence Group,alias
us,アメリカ合衆国,エクスポネント,エクスポネント,canonical
us,アメリカ合衆国,エクスポネント,Exponent,alias
us,アメリカ合衆国,IDEOエルピー,IDEOエルピー,canonical
us,アメリカ合衆国,IDEOエルピー,IDEO LP,alias
us,アメリカ合衆国,IDEOエルピー,IDEO LPIDEO LP,alias
us,アメリカ合衆国,ニューヨーク科学アカデミー,ニューヨーク科学アカデミー,canonical
us,アメリカ合衆国,ニューヨーク科学アカデミー,The New York Academy of Science,alias
id,インドネシア共和国,プタ・チプタブアナ・スクセス・レスタリ,プタ・チプタブアナ・スクセス・レスタリ,canonical
id,インドネシア共和国,プタ・チプタブアナ・スクセス・レスタリ,PT. Ciptabuana Sukses Lestari,alias
ca,カナダ,石油技術研究センター(PTRC),石油技術研究センター(PTRC),canonical
ca,カナダ,石油技術研究センター(PTRC),Petroleum Technology Research Centre,alias
fr,フランス共和国,ジオストック,ジオストック,canonical
fr,フランス共和国,ジオストック,GEOSTOCK,alias
us,アメリカ合衆国,全米日米協会(NAJAS),全米日米協会(NAJAS),canonical
us,アメリカ合衆国,全米日米協会(NAJAS),NAJAS,alias
cn,中華人民共和国,アリババ,アリババ,canonical
cn,中華人民共和国,アリババ,Alibaba,alias
us,アメリカ合衆国,S&Pグローバル・プラッツ,S&Pグローバル・プラッツ,canonical
us,アメリカ合衆国,S&Pグローバル・プラッツ,S&P Global Platts,alias
us,アメリカ合衆国,グレースノート,グレースノート,canonical
us,アメリカ合衆国,グレースノート,Gracenote,alias
us,アメリカ合衆国,カーネギーメロン大学,カーネギーメロン大学,canonical
us,アメリカ合衆国,カーネギーメロン大学,Carnegie Mellon University,alias
gb,イギリス,クリフォード・チャンス,クリフォード・チャンス,canonical
gb,イギリス,クリフォード・チャンス,Clifford Chance LLP,alias
id,インドネシア共和国,JGCインドネシア,JGCインドネシア,canonical
id,インドネシア共和国,JGCインドネシア,PT JGC INDONESIA,alias
fr,フランス共和国,アルテリア,アルテリア,canonical
fr,フランス共和国,アルテリア,Artelia,alias
sg,シンガポール,インターナショナルSOS,インターナショナルSOS,canonical
sg,シンガポール,インターナショナルSOS,INTERNATIONAL SOS,alias
sk,スロバキア共和国,イーセット(ESET),イーセット(ESET),canonical
sk,スロバキア共和国,イーセット(ESET),"ESET, spol. s r.o.",alias
sk,スロバキア共和国,イーセット(ESET),ESET,alias
us,アメリカ合衆国,アジア・ソサエティ,アジア・ソサエティ,canonical
us,アメリカ合衆国,アジア・ソサエティ,ASIA SOCIETY,alias
de,ドイツ連邦共和国,アヤメGmbH,アヤメGmbH,canonical
de,ドイツ連邦共和国,アヤメGmbH,AYAMEGmbH,alias
it,イタリア共和国,ユーロ地中海気候変動センター(CMCC),ユーロ地中海気候変動センター(CMCC),canonical
it,イタリア共和国,ユーロ地中海気候変動センター(CMCC),CMCC,alias
us,アメリカ合衆国,戦略国際問題研究所(CSIS),戦略国際問題研究所(CSIS),canonical
us,アメリカ合衆国,戦略国際問題研究所(CSIS),CSIS,alias
sg,シンガポール,野村総合研究所シンガポール,野村総合研究所シンガポール,canonical
sg,シンガポール,野村総合研究所シンガポール,Nomura Research Institute Singapore,alias
it,イタリア共和国,ピサ大学タシュケント校,ピサ大学タシュケント校,canonical
it,イタリア共和国,ピサ大学タシュケント校,The branch of the University of Pisa in Tashkent,alias
id,インドネシア共和国,プタ・ドゥタグリヤ・サラナ,プタ・ドゥタグリヤ・サラナ,canonical
id,インドネシア共和国,プタ・ドゥタグリヤ・サラナ,PT.Dutagriya Sarana,alias
us,アメリカ合衆国,AP通信,AP通信,canonical
us,アメリカ合衆国,AP通信,The Associated Press,alias
us,アメリカ合衆国,アーチャー・ダニエルズ・ミッドランド(ADM),アーチャー・ダニエルズ・ミッドランド(ADM),canonical
us,アメリカ合衆国,アーチャー・ダニエルズ・ミッドランド(ADM),ADM,alias
id,インドネシア共和国,プタ・ナピンド・メディア・アシャタマ,プタ・ナピンド・メディア・アシャタマ,canonical
id,インドネシア共和国,プタ・ナピンド・メディア・アシャタマ,PT NAPINDO MEDIA ASHATAMA,alias
az,アゼルバイジャン共和国,カスピアン・ジオフィジカル,カスピアン・ジオフィジカル,canonical
az,アゼルバイジャン共和国,カスピアン・ジオフィジカル,Caspian Geophysical,alias
gb,イギリス,OCOグローバル,OCOグローバル,canonical
gb,イギリス,OCOグローバル,OCO Global,alias
us,アメリカ合衆国,AFS異文化交流プログラム・インド,AFS異文化交流プログラム・インド,canonical
us,アメリカ合衆国,AFS異文化交流プログラム・インド,AFS Intercultural Programs India,alias
sg,シンガポール,クロゼット・グループ,クロゼット・グループ,canonical
sg,シンガポール,クロゼット・グループ,Clozette Group,alias
it,イタリア共和国,コゲス,コゲス,canonical
it,イタリア共和国,コゲス,COGES,alias
us,アメリカ合衆国,エクスプロレーション・パートナーズ,エクスプロレーション・パートナーズ,canonical
us,アメリカ合衆国,エクスプロレーション・パートナーズ,Xploration Partners,alias
gb,イギリス,アペイロン・マネジメント,アペイロン・マネジメント,canonical
gb,イギリス,アペイロン・マネジメント,Apeiron Management,alias
fr,フランス共和国,エアバス・ヘリコプターズ,エアバス・ヘリコプターズ,canonical
fr,フランス共和国,エアバス・ヘリコプターズ,Airbus Helicopters,alias
jp,日本,シマヅプレシジョンインスツルメンツ,シマヅプレシジョンインスツルメンツ,canonical
jp,日本,シマヅプレシジョンインスツルメンツ,シマヅプレシジョンインスツルメンツインク,alias
us,アメリカ合衆国,クロール・インターナショナル,クロール・インターナショナル,canonical
us,アメリカ合衆国,クロール・インターナショナル,クロール・インターナショナル・インク,alias
us,アメリカ合衆国,ジャパン・ソサエティー,ジャパン・ソサエティー,canonical
us,アメリカ合衆国,ジャパン・ソサエティー,ジャパン・ソサエティ,alias
us,アメリカ合衆国,ボストン・コンサルティング・グループ,ボストン・コンサルティング・グループ,canonical
us,アメリカ合衆国,エム・アール・アイリサーチアソシエイツ,エム・アール・アイリサーチアソシエイツ,canonical
us,アメリカ合衆国,マッキンゼー・アンド・カンパニー,マッキンゼー・アンド・カンパニー,canonical
us,アメリカ合衆国,マッキンゼー・アンド・カンパニー,マッキンゼー・アンド・カンパニー・インコーポレイテッド・ジャパン,alias
fi,フィンランド共和国,レレックス・ソリューションズ,レレックス・ソリューションズ,canonical
fi,フィンランド共和国,レレックス・ソリューションズ,レレックスシンガポール,alias
us,アメリカ合衆国,シープスコット・グループ,シープスコット・グループ,canonical
us,アメリカ合衆国,シープスコット・グループ,Sheepscot Group,alias
us,アメリカ合衆国,シープスコット・グループ,SheepScot Group,alias
us,アメリカ合衆国,グローバル起業家研究所(UCSD),グローバル起業家研究所(UCSD),canonical
us,アメリカ合衆国,グローバル起業家研究所(UCSD),"Institute for the Global Entrepreneur, University",alias
us,アメリカ合衆国,S&Pグローバル・コモディティ・インサイツ,S&Pグローバル・コモディティ・インサイツ,canonical
us,アメリカ合衆国,S&Pグローバル・コモディティ・インサイツ,S&P Global Commodity Insights,alias
us,アメリカ合衆国,ワシントン・コア,ワシントン・コア,canonical
us,アメリカ合衆国,ワシントン・コア,Washington Core L.L.C,alias
sg,シンガポール,シャングリラ・シンガポール,シャングリラ・シンガポール,canonical
sg,シンガポール,シャングリラ・シンガポール,SHANGRILA SINGAPORE,alias
sg,シンガポール,野村総合研究所シンガポール,NomuraResearchInstituteSingaporePte.Led,alias
dj,ジブチ共和国,アシア(ジブチ現地業者),アシア,canonical
dj,ジブチ共和国,ホテル・アカシアス,ホテル・アカシアス,canonical
dj,ジブチ共和国,ホテル・アカシアス,Hotel Acacias,alias
dj,ジブチ共和国,ブリコカーコンセプト,ブリコカーコンセプト,canonical
dj,ジブチ共和国,ブリコカーコンセプト,Brico Car Concept,alias
us,アメリカ合衆国,SITEインテリジェンス・グループ,サイトインテリジェンスグループ,canonical
us,アメリカ合衆国,SITEインテリジェンス・グループ,SITE Intelligence Group,alias
us,アメリカ合衆国,ジャパニーズ・アシスタンス・ネットワーク,ジャパニーズ・アシスタンス・ネットワーク,canonical
us,アメリカ合衆国,ジャパニーズ・アシスタンス・ネットワーク,Japanese Assistance Network,alias
fr,フランス共和国,RXフランス(Reed Expositions France),RX FRANCE,alias
us,アメリカ合衆国,ハワード・ベイカー・フォーラム/アトランティック・カウンシル,The Howard Baker Forum/Atlantic Council,alias
be,ベルギー王国,ユーロビジョン・アンド・アソシエイツ,EUROVISION AND ASSOCIATES,alias
be,ベルギー王国,ユーロビジョン・アンド・アソシエイツ,EuroVision & Associates,alias
de,ドイツ連邦共和国,パースペクティブズ・クライメート・リサーチ,Perspectives Climate Research,alias
id,インドネシア共和国,PT アールーニャ・ミトラ・オプティマ(AMO),PT Aarunya Mitra Optima(AMO),alias
au,オーストラリア,オーストラリア戦略政策研究所(ASPI),AUSTRALIAN STRATEGIC POLICY INSTITUTE,alias
kh,カンボジア王国,ソフィテル・プノンペン・フォキートラ,Sofitel Phnom Penh Phokeethra,alias
ca,カナダ,グローブスキャン・インコーポレイテッド,GlobeScan,alias
gb,イギリス,フィールドフィッシャー法律事務所(Fieldfisher LLP),FieldfisherLLP,alias
vn,ベトナム社会主義共和国,TTVN,TTVN,canonical
ca,カナダ,サブシー・ジオ・サービシズ(カナダ・海底調査),サブシー・ジオ・サービシズ,canonical
ca,カナダ,サブシー・ジオ・サービシズ(カナダ・海底調査),Subsea Geo Services Inc,alias
ca,カナダ,サブシー・ジオ・サービシズ(カナダ・海底調査),Subsea Geo Servic Inces,alias
pe,ペルー共和国,アントニオ・イ・ロリータ(スペイン語圏芸術家グループ),アントニオ・イ・ロリータ,canonical
xx,不明,スプリントキャピタル(エネルギー調査),スプリントキャピタル,canonical
us,アメリカ合衆国,ドメスティック・バイオレンス・アクションセンター(ホノルル),ドメスティックバイオレンスアクションセンター(ホノルル),canonical
us,アメリカ合衆国,ドメスティック・バイオレンス・アクションセンター(ホノルル),Domestic Violence Action Center,alias
ca,カナダ,ジャパニーズ・ソーシャル・サービス(トロント),ジャパニーズ・ソーシャル・サービス(トロント),canonical
ca,カナダ,ジャパニーズ・ソーシャル・サービス(トロント),Japanese Social Services Toronto,alias
us,アメリカ合衆国,ウーマンカインド(ニューヨーク),ウーマンカインド(ニューヨーク),canonical
us,アメリカ合衆国,ウーマンカインド(ニューヨーク),Womankind New York,alias
us,アメリカ合衆国,ウォーターボーン・エンバイロンメンタル,ウォーターボーンエンバイロンメンタル,canonical
us,アメリカ合衆国,ウォーターボーン・エンバイロンメンタル,Waterborne Environmental,alias
us,アメリカ合衆国,クライン&カンパニー(潤滑油情報収集),クラインカンパニー,canonical
us,アメリカ合衆国,クライン&カンパニー(潤滑油情報収集),Kline & Company,alias
us,アメリカ合衆国,クライン&カンパニー(潤滑油情報収集),Kline + Company,alias
us,アメリカ合衆国,クライン&カンパニー(潤滑油情報収集),Klein Company,alias
us,アメリカ合衆国,ブルームバーグ・エル・ピー(Bloomberg L.P.),ブルームバーグ・エル・ピー,canonical
us,アメリカ合衆国,ブルームバーグ・エル・ピー(Bloomberg L.P.),Bloomberg L.P.,alias
us,アメリカ合衆国,ブルームバーグ・エル・ピー(Bloomberg L.P.),Bloomberg,alias
us,アメリカ合衆国,ワシントンコアLLC(政策コンサルティング),ワシントンコアL.L.C,canonical
us,アメリカ合衆国,ワシントンコアLLC(政策コンサルティング),ワシントンコアL.L.C.,alias
us,アメリカ合衆国,ワシントンコアLLC(政策コンサルティング),ワシントンコアLLC,alias
us,アメリカ合衆国,ワシントンコアLLC(政策コンサルティング),Washington Core LLC,alias
us,アメリカ合衆国,ワシントンコアLLC(政策コンサルティング),Washington Core L.L.C.,alias
in,インド,NRIインド(野村総合研究所インド法人),NRIインド,canonical
in,インド,NRIインド(野村総合研究所インド法人),ノムラ・リサーチ・インスティテュート・コンサルティング・アンド・ソリューションズ・インディア,alias
in,インド,NRIインド(野村総合研究所インド法人),Nomura Research Institute Consulting and Solutions India Private Limited,alias
in,インド,NRIインド(野村総合研究所インド法人),Nomura Research Institute Consulting and Solutions India Pvt. Ltd.,alias
in,インド,NRIインド(野村総合研究所インド法人),Nomura Research Institute Consulting and Solutions India Pri,alias
in,インド,NRIインド(野村総合研究所インド法人),Nomura Research Institute Consulting & Solutions India Pvt.,alias
in,インド,NRIインド(野村総合研究所インド法人),Nomura Research Institute Consulting & Solutions India Pvt. Ltd.,alias
in,インド,NRIインド(野村総合研究所インド法人),Nomura Research Institute India Pvt.Ltd.,alias
us,アメリカ合衆国,APIチャヤ(シアトル在住アジア系DV支援NPO),API Chaya(シアトル),canonical
us,アメリカ合衆国,APIチャヤ(シアトル在住アジア系DV支援NPO),API Chaya,alias
sg,シンガポール,ベーカー・マッケンジー・ウォン・アンド・リョウ(法律事務所),Baker & Mckenzie Wong & Leow,canonical
sg,シンガポール,ベーカー・マッケンジー・ウォン・アンド・リョウ(法律事務所),Baker McKenzie,alias
de,ドイツ連邦共和国,フラウエンベラーツングスシュテレ・デュッセルドルフ(女性相談所),frauenberatungsstell dusseldorf e.V.(デュッセルドルフ),canonical
de,ドイツ連邦共和国,フラウエンベラーツングスシュテレ・デュッセルドルフ(女性相談所),frauenberatungsstelle dusseldorf e.V.,alias
au,オーストラリア,多文化女性緊急支援サービス(MWESS),MWESS(ブリスベン),canonical
au,オーストラリア,多文化女性緊急支援サービス(MWESS),MWESS,alias
ss,南スーダン共和国,スウェド・ジェネラル・トレーディング(南スーダン連絡調整要員宿舎),SWED GENERAL TRADING,canonical
sa,サウジアラビア王国,パワークリエーション・コントラクティング・エスティル(在サウジ日本大使館施設工事),Power Creation Contractiong ESTILL,canonical
sa,サウジアラビア王国,パワークリエーション・コントラクティング・エスティル(在サウジ日本大使館施設工事),Power Creation Contracting ESTILL,alias
vn,ベトナム社会主義共和国,EPROコンサルティング(ベトナム),EPRO Consulting Joint Stock Company,canonical
id,インドネシア共和国,ティガ・ティガ・ティガ・エンターテインメント,PT.TUJUH TUJUH TUJUH ENTERTAINMENT,canonical
kh,カンボジア王国,ホテル・エミオン・プノンペン,HOTEL Emion PHNOM PENH,canonical
us,アメリカ合衆国,コノサー・メディア(ラジオ放送会社),Connoisseur Media,canonical
ca,カナダ,YWCAモンローハウス(バンクーバー),YWCAモンローハウス(バンクーバー),canonical
ca,カナダ,YWCAモンローハウス(バンクーバー),YWCA Monroe House,alias
my,マレーシア,サンウェイiLabsアクセラレーター,Sunway iLabs Accelerator Sdn Bhd,canonical
kr,大韓民国,韓国気候変動研究学会,The Korian Society of Climate Change Research,canonical
us,アメリカ合衆国,野村総合研究所アメリカ法人(NRI America),Nomura Research Institute America,canonical
us,アメリカ合衆国,野村総合研究所アメリカ法人(NRI America),Nomura Research Institute America, Inc.,alias
fr,フランス共和国,エリイス(地質解析ソフト会社),Eliis,canonical
eu,欧州連合,コルサーチ・ヨーロッパ(地理的表示調査),Corsearch Europe,canonical
xx,不明,プラザホテル(能力構築支援),PLAZA HOTEL,canonical
us,アメリカ合衆国,インターコンチネンタル・ウィラードホテル(ワシントンDC),INTERCONTINENTAL WILLARD,canonical
us,アメリカ合衆国,エクステンデッドステイ・アメリカ,EXTENDED STAY,canonical
my,マレーシア,パソナHRマレーシア,Pasona HR Malaysia Sdn Bhd,canonical
my,マレーシア,パソナHRマレーシア,Pasona HR Malaysia Sdn.Bhd,alias
sg,シンガポール,インテージシンガポール,INTAGE SINGAPORE PTE. LTD,canonical
sg,シンガポール,インテージシンガポール,INTAGE SINGAPORE PTE. LTD.,alias
ke,ケニア共和国,サロバ・スタンレー・ホテル(ナイロビ・能力構築支援),THE STANLEY HOTEL&SUITES,canonical
xx,不明,エコ・ディスカバリー(能力構築支援),ECO DISCOVERY,canonical
ke,ケニア共和国,アフリカ・ヘルス・ビジネス(ナイロビ・ヘルスケアコンサルティング),Afurica Health Business,canonical
us,アメリカ合衆国,TWIグローバルビジネス(テキサス・日本食市場調査),TWI Global Business,canonical
us,アメリカ合衆国,ASRCコンサルティング&環境サービス(アラスカ先住民企業),ASRC Consulting & Environmental Service LLC,canonical
et,エチオピア連邦民主共和国,バオバブ環境コンサルタンツ(日本-エチオピアJCM),Baobab Environmental Consultants Limited,canonical
cn,中国,JNK環境研究・コンサルティング,JNK Environmental Research & Consulting Co., Ltd.,canonical
gb,イギリス,ベーカー・マッケンジーLPC(英国),BAKER AND MCKENZIE LPC,canonical
us,アメリカ合衆国,ノムラ・リサーチ(インフラ海外展開),Nomura Research,canonical
id,インドネシア共和国,ジャカルタ国際見本市,PT.JAKARTA INTERNATIONAL EXPO,canonical
fr,フランス共和国,KSMニュース&リサーチ(在仏大使館メディアモニタリング),KSM NEWS&RESEARCH,canonical
us,アメリカ合衆国,ストーリーズ(日米経済強化プロジェクト),STORIES,canonical
us,アメリカ合衆国,ROIリサーチ・オン・インベストメント(J-Bridgeコーディネーター・シリコンバレー),ROI Research on Investment,canonical
ke,ケニア共和国,KATCカセイプロジェクト(ケニア農業訓練センター),KATC KR II PROJECT,canonical
us,アメリカ合衆国,フューチャー・リソーセズ研究所(RFF),未来資源研究所(RFF),canonical
us,アメリカ合衆国,フューチャー・リソーセズ研究所(RFF),Resources for the Future,alias
us,アメリカ合衆国,フューチャー・リソーセズ研究所(RFF),RFF,alias
us,アメリカ合衆国,笹川平和財団USA,笹川平和財団USA,canonical
cn,中国,SA Damm上海オフィス(沖縄酒類販売),SA Damm社Shanghai Office,canonical
us,アメリカ合衆国,マンスフィールド財団,モーリーン・アンド・マイク・マンスフィールド財団,canonical
us,アメリカ合衆国,マンスフィールド財団,Maureen and Mike Mansfield Foundation,alias
us,アメリカ合衆国,マンスフィールド財団,Mansfield Foundation,alias
us,アメリカ合衆国,マンスフィールド財団,モーリーン&マイク・マンスフィールド財団,alias
us,アメリカ合衆国,マンスフィールド財団,マンスフィールド財団,alias
us,アメリカ合衆国,ニューヨーク日本人教育審議会,ニューヨーク日本人教育審議会,canonical
tw,台湾,通泰建設股份有限公司,通泰建設(股),canonical
us,アメリカ合衆国,ウッドロー・ウィルソン国際学術センター,ウッドロー・ウィルソン国際学術センター,canonical
us,アメリカ合衆国,ウッドロー・ウィルソン国際学術センター,Woodrow Wilson International Center for Scholars,alias
ca,カナダ,アジア太平洋財団カナダ,カナダ・アジア太平洋財団,canonical
ca,カナダ,アジア太平洋財団カナダ,Asia Pacific Foundation of Canada,alias
us,アメリカ合衆国,アジア・ソサエティ政策研究所,アジア・ソサエティ政策研究所,canonical
us,アメリカ合衆国,アジア・ソサエティ政策研究所,Asia Society Policy Institute,alias
us,アメリカ合衆国,ランド研究所,ランド研究所,canonical
us,アメリカ合衆国,ランド研究所,RAND Corporation,alias
us,アメリカ合衆国,米戦略国際問題研究所(CSIS),米戦略国際問題研究所(CSIS),canonical
us,アメリカ合衆国,米戦略国際問題研究所(CSIS),CSIS,alias
us,アメリカ合衆国,米戦略国際問題研究所(CSIS),Center for Strategic and International Studies,alias
us,アメリカ合衆国,世界資源研究所(WRI),HLP事務局(世界資源研究所(WRI)),canonical
us,アメリカ合衆国,世界資源研究所(WRI),World Resources Institute,alias
us,アメリカ合衆国,世界資源研究所(WRI),WRI,alias
us,アメリカ合衆国,リトル東京サービスセンター(ロサンゼルス),リトル東京サービスセンター(ロサンゼルス),canonical
th,タイ王国,泰日協会学校理事会,泰日協会学校理事会,canonical
tr,トルコ共和国,HRCコンサルティング,トルコ(HRC Consulting社),canonical
es,スペイン王国,WORKHOTEL ETT社(スペイン),スペイン(WORKHOTEL ETT社),canonical
es,スペイン王国,DARUMA社(スペイン),スペイン(DARUMA社),canonical
tw,台湾,通泰商業大楼管理委員会,通泰商業大楼管理委員会,canonical
