policy_ministry,ministry,bureau,division,section,office,team,unit,source
復興庁,復興庁,,,,,福島国際研究教育機構室,,data
復興庁,復興庁,,,,,被災者支援・医療福祉班,,data
復興庁,復興庁,,,,,農林水産班,,data
文部科学省,スポーツ庁,,,健康スポーツ課,,,健康・体力つくり係,data
文部科学省,スポーツ庁,,,健康スポーツ課,,,庶務係,data
文部科学省,スポーツ庁,,,健康スポーツ課,,,連携推進係,data
文部科学省,スポーツ庁,,,健康スポーツ課,障害者スポーツ振興室,,障害者スポーツ係,data
文部科学省,スポーツ庁,,,参事官(国際担当),,,,data
文部科学省,スポーツ庁,,,参事官(国際担当),,,アンチ・ドーピング企画調整係,data
文部科学省,スポーツ庁,,,参事官(国際担当),,,アンチ・ドーピング推進係,data
文部科学省,スポーツ庁,,,参事官(国際担当),,,国際競技大会招致推進係,data
文部科学省,スポーツ庁,,,参事官(地域振興担当),,,地域振興係,data
文部科学省,スポーツ庁,,,参事官(地域振興担当),,,施設企画係,data
文部科学省,スポーツ庁,,,参事官(地域振興担当),,,施設整備係,data
文部科学省,スポーツ庁,,,参事官(民間スポーツ担当),,,スポーツ人材係,data
文部科学省,スポーツ庁,,,参事官(民間スポーツ担当),,,経営改善係,data
文部科学省,スポーツ庁,,,地域スポーツ課,,,地域スポーツ振興係,data
文部科学省,スポーツ庁,,,地域スポーツ課,,,地域運動部活動推進係,data
文部科学省,スポーツ庁,,,地域スポーツ課,,,学校運動部活動係,data
文部科学省,スポーツ庁,,,地域スポーツ課,,,庶務係,data
文部科学省,スポーツ庁,,,政策課,,,管理係,data
文部科学省,スポーツ庁,,,政策課,企画調整室,,,data
文部科学省,スポーツ庁,,,政策課,企画調整室,,政策調整係,data
文部科学省,スポーツ庁,,,政策課,企画調整室,,調査係,data
文部科学省,スポーツ庁,,,競技スポーツ課,,,,data
文部科学省,スポーツ庁,,,競技スポーツ課,,,スポーツ科学係,data
文部科学省,スポーツ庁,,,競技スポーツ課,,,庶務係,data
文部科学省,スポーツ庁,,,競技スポーツ課,,,支援第一係,data
文部科学省,スポーツ庁,,,競技スポーツ課,,,整備係,data
文部科学省,スポーツ庁,,,競技スポーツ課,,,競技団体組織基盤強化係,data
文部科学省,文化庁,,,,,,日本芸術院/庶務係,data
文部科学省,文化庁,,,企画調整課,,,事業係,data
文部科学省,文化庁,,,企画調整課,,,総括係,data
文部科学省,文化庁,,,企画調整課,博物館・独立行政法人連絡室,,独法一係,data
文部科学省,文化庁,,,企画調整課,博物館・独立行政法人連絡室,,独法二係,data
文部科学省,文化庁,,,企画調整課,博物館振興室,,,data
文部科学省,文化庁,,,企画調整課,国立アイヌ民族博物館,,アイヌ文化振興係,data
文部科学省,文化庁,,,企画調整課,国立近現代建築資料館,,,data
文部科学省,文化庁,,,参事官(文化拠点担当),,,文化観光拠点支援係,data
文部科学省,文化庁,,,参事官(生活文化創造担当),,,,data
文部科学省,文化庁,,,参事官(生活文化連携担当),,,総括係,data
文部科学省,文化庁,,,参事官(芸術文化担当),,,,data
文部科学省,文化庁,,,参事官(芸術文化担当),,,メディア芸術発信係,data
文部科学省,文化庁,,,参事官(芸術文化担当),,,映画振興係,data
文部科学省,文化庁,,,参事官(芸術文化担当),,,総括・顕彰係,data
文部科学省,文化庁,,,参事官(芸術文化担当),,,舞台芸術係,data
文部科学省,文化庁,,,参事官(芸術文化担当),,学校芸術教育室,文化活動振興係,data
文部科学省,文化庁,,,参事官(芸術文化担当),,学校芸術教育室,芸術教育推進係,data
文部科学省,文化庁,,,国語課,,,日本語教育指導・普及係,data
文部科学省,文化庁,,,宗務課,,,調査係,data
文部科学省,文化庁,,,政策課,,,,data
文部科学省,文化庁,,,政策課,文化発信室,,,data
文部科学省,文化庁,,,文化経済・国際課,グローバル展開推進室,,,data
文部科学省,文化庁,,,文化経済・国際課,文化芸術活動基盤強化室,,,data
文部科学省,文化庁,,,文化経済・国際課,文化芸術活動基盤強化室,,経営改善・市場流通係,data
文部科学省,文化庁,,,文化経済・国際課,新文化芸術創造室,,,data
文部科学省,文化庁,,,文化財第一課,,,審議会係,data
文部科学省,文化庁,,,文化財第一課,,,総括係,data
文部科学省,文化庁,,,文化財第二課,,,総括係,data
文部科学省,文化庁,,,文化資源活用課,,,,data
文部科学省,文化庁,,,文化資源活用課,,,総務係,data
文部科学省,文化庁,,,著作権課,,,著作権登録係,data
文部科学省,文部科学省,初等中等教育局,,健康教育・食育課,,,保健指導係,data
文部科学省,文部科学省,初等中等教育局,,健康教育・食育課,,,保健管理係,data
文部科学省,文部科学省,初等中等教育局,,健康教育・食育課,,,学校給食係,data
文部科学省,文部科学省,初等中等教育局,,児童生徒課,,,キャリア教育推進係,data
文部科学省,文部科学省,初等中等教育局,,児童生徒課,,,指導係,data
文部科学省,文部科学省,初等中等教育局,,児童生徒課,生徒指導室,,生徒指導企画係,data
文部科学省,文部科学省,初等中等教育局,,初等中等教育企画課,,,総務係,data
文部科学省,文部科学省,初等中等教育局,,参事官(高等学校担当),,,,data
文部科学省,文部科学省,初等中等教育局,,参事官(高等学校担当),,,企画係,data
文部科学省,文部科学省,初等中等教育局,,参事官(高等学校担当),産業教育振興室,,助成係,data
文部科学省,文部科学省,初等中等教育局,,参事官(高等学校担当),高校修学支援室,,高校奨学金係,data
文部科学省,文部科学省,初等中等教育局,,参事官(高等学校担当),高等学校改革推進室,,,data
文部科学省,文部科学省,初等中等教育局,,学校情報基盤・教材課,,,,data
文部科学省,文部科学省,初等中等教育局,,学校情報基盤・教材課,,,庶務・助成係,data
文部科学省,文部科学省,初等中等教育局,,幼児教育課,,,企画調整係,data
文部科学省,文部科学省,初等中等教育局,,幼児教育課,,,指導係,data
文部科学省,文部科学省,初等中等教育局,,幼児教育課,,,振興係,data
文部科学省,文部科学省,初等中等教育局,,教科書課,,,無償給与係,data
文部科学省,文部科学省,初等中等教育局,,教育課程課,,,,data
文部科学省,文部科学省,初等中等教育局,,教育課程課,,,庶務・助成係,data
文部科学省,文部科学省,初等中等教育局,,教育課程課,,,教育課程第一係,data
文部科学省,文部科学省,初等中等教育局,,教育課程課,,,教育課程第二係,data
文部科学省,文部科学省,初等中等教育局,,教育課程課,外国語教育推進室,,,data
文部科学省,文部科学省,初等中等教育局,,教育課程課,情報教育振興室,,,data
文部科学省,文部科学省,初等中等教育局,,教育課程課,教育課程企画室,,,data
文部科学省,文部科学省,初等中等教育局,,特別支援教育課,,,庶務係,data
文部科学省,文部科学省,初等中等教育局,,特別支援教育課,,,支援第一係,data
文部科学省,文部科学省,初等中等教育局,,特別支援教育課,,,支援第二係,data
文部科学省,文部科学省,初等中等教育局,,財務課,,,,data
文部科学省,文部科学省,初等中等教育局,,財務課,,,企画調査係,data
文部科学省,文部科学省,初等中等教育局,,財務課,,,庶務・助成係,data
文部科学省,文部科学省,初等中等教育局,,財務課,,,校務調整係,data
文部科学省,文部科学省,初等中等教育局,,財務課,,,給与総括係,data
文部科学省,文部科学省,初等中等教育局,,財務課,教育財政室,,公立共済係,data
文部科学省,文部科学省,国立教育政策研究所,幼児教育研究センター,,,,,data
文部科学省,文部科学省,国立教育政策研究所,教育データサイエンスセンター,データ基盤課,,,,data
文部科学省,文部科学省,国立教育政策研究所,教育課程研究センター,,研究開発部研究開発課,,企画係,data
文部科学省,文部科学省,国立教育政策研究所,文教施設研究センター,,,,企画係,data
文部科学省,文部科学省,国立教育政策研究所,生徒指導・進路指導研究センター,企画課,,,企画係,data
文部科学省,文部科学省,国立教育政策研究所,研究企画開発部,情報支援課,,,企画係,data
文部科学省,文部科学省,国立教育政策研究所,社会教育実践研究センター,企画課,,,,data
文部科学省,文部科学省,国立教育政策研究所,総務部,研究支援課,,,研究支援係,data
文部科学省,文部科学省,国際統括官,,,,,ユネスコ振興推進係,data
文部科学省,文部科学省,国際統括官,,,,,ユネスコ第1係,data
文部科学省,文部科学省,国際統括官,,,,,企画係,data
文部科学省,文部科学省,大臣官房,,人事課,,栄典班,栄典第三係,data
文部科学省,文部科学省,大臣官房,,会計課,,管理班,企画渉外係,data
文部科学省,文部科学省,大臣官房,,国際課,,,企画調査係,data
文部科学省,文部科学省,大臣官房,,国際課,,,国際機関係,data
文部科学省,文部科学省,大臣官房,,国際課,,,外国人教育政策企画係,data
文部科学省,文部科学省,大臣官房,,国際課,,,外国人教育政策推進第一係,data
文部科学省,文部科学省,大臣官房,,国際課,,,海外協力政策係,data
文部科学省,文部科学省,大臣官房,,国際課,,,総務係,data
文部科学省,文部科学省,大臣官房,,政策課,サイバーセキュリティ・情報化推進室,,サイバーセキュリティ第一係,data
文部科学省,文部科学省,大臣官房,文教施設企画・防災部,参事官(施設防災担当),,,整備企画係,data
文部科学省,文部科学省,大臣官房,文教施設企画・防災部,参事官(施設防災担当),,,施設防災企画係,data
文部科学省,文部科学省,大臣官房,文教施設企画・防災部,参事官(施設防災担当),,,災害復旧係,data
文部科学省,文部科学省,大臣官房,文教施設企画・防災部,参事官(施設防災担当),,,防災機能強化係,data
文部科学省,文部科学省,大臣官房,文教施設企画・防災部,施設企画課,,,指導第一係,data
文部科学省,文部科学省,大臣官房,文教施設企画・防災部,施設企画課,,,環境施設企画係,data
文部科学省,文部科学省,大臣官房,文教施設企画・防災部,施設助成課,,,予算総括係,data
文部科学省,文部科学省,大臣官房,文教施設企画・防災部,計画課,,,,data
文部科学省,文部科学省,研究振興局,,ライフサイエンス課,,,,data
文部科学省,文部科学省,研究振興局,,参事官(ナノテクノロジー・物質・材料担当),,,,data
文部科学省,文部科学省,研究振興局,,参事官(情報担当),,,,data
文部科学省,文部科学省,研究振興局,,参事官(情報担当),学術基盤整備室,,,data
文部科学省,文部科学省,研究振興局,,参事官(情報担当),計算科学技術推進室,,,data
文部科学省,文部科学省,研究振興局,,基礎・基盤研究課,,,,data
文部科学省,文部科学省,研究振興局,,基礎・基盤研究課,,,理研係,data
文部科学省,文部科学省,研究振興局,,基礎・基盤研究課,素粒子・原子核研究推進室,,,data
文部科学省,文部科学省,研究振興局,,基礎・基盤研究課,量子研究推進室,,,data
文部科学省,文部科学省,研究振興局,,大学研究基盤整備課,,,,data
文部科学省,文部科学省,研究振興局,,大学研究基盤整備課,,,庶務・研究設備係,data
文部科学省,文部科学省,研究振興局,,大学研究基盤整備課,,,機構総括係,data
文部科学省,文部科学省,研究振興局,,大学研究基盤整備課,大学研究力強化室,,研究力強化企画係,data
文部科学省,文部科学省,研究振興局,,学術研究推進課,,,,data
文部科学省,文部科学省,研究振興局,,学術研究推進課,,,学術研究推進係,data
文部科学省,文部科学省,研究振興局,,学術研究推進課,企画室,,調査分析係,data
文部科学省,文部科学省,研究振興局,,振興企画課,,,学術振興係,data
文部科学省,文部科学省,研究振興局,,振興企画課,奨励室,,,data
文部科学省,文部科学省,研究振興局,,振興企画課,学術企画室,,,data
文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,data
文部科学省,文部科学省,研究開発局,,原子力課,,,,data
文部科学省,文部科学省,研究開発局,,原子力課,立地地域対策室,,,data
文部科学省,文部科学省,研究開発局,,地震火山防災研究課,,,,data
文部科学省,文部科学省,研究開発局,,宇宙開発利用課,,,,data
文部科学省,文部科学省,研究開発局,,海洋地球課,,,,data
文部科学省,文部科学省,研究開発局,,環境エネルギー課,,,,data
文部科学省,文部科学省,研究開発局,,研究開発戦略官(核燃料サイクル・廃止措置担当),,,,data
文部科学省,文部科学省,研究開発局,,研究開発戦略官(核融合・原子力国際協力担当),,,,data
文部科学省,文部科学省,科学技術・学術政策局,,,産業連携・地域振興課研究交流センター,,,data
文部科学省,文部科学省,科学技術・学術政策局,,人材政策課,,,科学技術社会連携係,data
文部科学省,文部科学省,科学技術・学術政策局,,人材政策課,,,総括係,data
文部科学省,文部科学省,科学技術・学術政策局,,人材政策課,人材政策推進室,,,data
文部科学省,文部科学省,科学技術・学術政策局,,参事官(国際戦略担当),,,,data
文部科学省,文部科学省,科学技術・学術政策局,,政策課,資源室,,,data
文部科学省,文部科学省,科学技術・学術政策局,,産業連携・地域振興課,,,総括係,data
文部科学省,文部科学省,科学技術・学術政策局,,産業連携・地域振興課,拠点形成・地域振興室,,地域係,data
文部科学省,文部科学省,科学技術・学術政策局,,産業連携・地域振興課,産業連携推進室,,企画調査係,data
文部科学省,文部科学省,科学技術・学術政策局,,研究環境課,,,研究基盤整備・利用係,data
文部科学省,文部科学省,科学技術・学術政策局,,研究環境課,,,総括・交流係,data
文部科学省,文部科学省,科学技術・学術政策局,,研究環境課,研究公正推進室,,,data
文部科学省,文部科学省,科学技術・学術政策局,,研究環境課,競争的研究費調整室,,指導企画係,data
文部科学省,文部科学省,科学技術・学術政策局,,研究開発戦略課,,,,data
文部科学省,文部科学省,科学技術・学術政策局,,研究開発戦略課,戦略研究推進室,,,data
文部科学省,文部科学省,科学技術・学術政策局,,研究開発戦略課,政策科学推進室,,,data
文部科学省,文部科学省,科学技術・学術政策局,,科学技術・学術戦略官(制度改革・調査担当),,,,data
文部科学省,文部科学省,科学技術・学術政策研究所,,企画課,,,,data
文部科学省,文部科学省,総合教育政策局,,参事官(調査企画担当),,,,data
文部科学省,文部科学省,総合教育政策局,,参事官(調査企画担当),,,国際教育統計担当,data
文部科学省,文部科学省,総合教育政策局,,参事官(調査企画担当),,,外国調査第1係,data
文部科学省,文部科学省,総合教育政策局,,参事官(調査企画担当),,,学校基本調査係,data
文部科学省,文部科学省,総合教育政策局,,参事官(調査企画担当),,,専門調査係,data
文部科学省,文部科学省,総合教育政策局,,参事官(調査企画担当),,,庶務係,data
文部科学省,文部科学省,総合教育政策局,,参事官(調査企画担当),,,統計情報分析係,data
文部科学省,文部科学省,総合教育政策局,,参事官(調査企画担当),,,統計活用推進係,data
文部科学省,文部科学省,総合教育政策局,,参事官(調査企画担当),,,調査調整係,data
文部科学省,文部科学省,総合教育政策局,,参事官(調査企画担当),学力調査室,,学力調査企画係,data
文部科学省,文部科学省,総合教育政策局,,参事官(調査企画担当),学力調査室,,学力調査推進係,data
文部科学省,文部科学省,総合教育政策局,,国際教育課,,,国際理解教育係,data
文部科学省,文部科学省,総合教育政策局,,国際教育課,,,在外教育施設企画調査係,data
文部科学省,文部科学省,総合教育政策局,,国際教育課,,,外国人児童生徒教育企画係,data
文部科学省,文部科学省,総合教育政策局,,国際教育課,,,庶務・助成係,data
文部科学省,文部科学省,総合教育政策局,,地域学習推進課,,,図書館振興係,data
文部科学省,文部科学省,総合教育政策局,,地域学習推進課,,,地域学習推進係,data
文部科学省,文部科学省,総合教育政策局,,地域学習推進課,,,庶務係,data
文部科学省,文部科学省,総合教育政策局,,地域学習推進課,,,社会教育人材研修係,data
文部科学省,文部科学省,総合教育政策局,,地域学習推進課,地域学校協働推進室,,地域学校協働事業係,data
文部科学省,文部科学省,総合教育政策局,,地域学習推進課,家庭教育支援室,,家庭教育振興係,data
文部科学省,文部科学省,総合教育政策局,,地域学習推進課,青少年教育室,,事業係,data
文部科学省,文部科学省,総合教育政策局,,地域学習推進課,青少年教育室,,施設係,data
文部科学省,文部科学省,総合教育政策局,,教育人材政策課,,,企画係,data
文部科学省,文部科学省,総合教育政策局,,教育人材政策課,,,庶務・助成係,data
文部科学省,文部科学省,総合教育政策局,,教育人材政策課,,,改革推進係,data
文部科学省,文部科学省,総合教育政策局,,教育人材政策課,教員免許・研修企画室,,教職員研修係,data
文部科学省,文部科学省,総合教育政策局,,教育人材政策課,教員免許・研修企画室,,法規係,data
文部科学省,文部科学省,総合教育政策局,,教育人材政策課,教員養成企画室,,教育大学係,data
文部科学省,文部科学省,総合教育政策局,,日本語教育課,,,管理係,data
文部科学省,文部科学省,総合教育政策局,,生涯学習推進課,,,放送大学振興係,data
文部科学省,文部科学省,総合教育政策局,,生涯学習推進課,,,生涯学習推進係,data
文部科学省,文部科学省,総合教育政策局,,生涯学習推進課,,,職業教育推進係,data
文部科学省,文部科学省,総合教育政策局,,生涯学習推進課,,,認定試験第1係,data
文部科学省,文部科学省,総合教育政策局,,生涯学習推進課,専修学校教育振興室,,専修学校第1係,data
文部科学省,文部科学省,総合教育政策局,,生涯学習推進課,専修学校教育振興室,,専修学校第2係,data
文部科学省,文部科学省,総合教育政策局,,男女共同参画共生社会学習・安全課,,,庶務係,data
文部科学省,文部科学省,総合教育政策局,,男女共同参画共生社会学習・安全課,,,消費者教育推進係,data
文部科学省,文部科学省,総合教育政策局,,男女共同参画共生社会学習・安全課,安全教育推進室,,交通安全係,data
文部科学省,文部科学省,総合教育政策局,,男女共同参画共生社会学習・安全課,安全教育推進室,,推進係,data
文部科学省,文部科学省,総合教育政策局,,男女共同参画共生社会学習・安全課,男女共同参画学習室,,男女共同参画推進係,data
文部科学省,文部科学省,総合教育政策局,,男女共同参画共生社会学習・安全課,障害者学習支援推進室,,障害者学習支援第1係,data
文部科学省,文部科学省,高等教育局,,医学教育課,,,,data
文部科学省,文部科学省,高等教育局,,医学教育課,,,医学教育係,data
文部科学省,文部科学省,高等教育局,,医学教育課,,,看護教育係,data
文部科学省,文部科学省,高等教育局,,医学教育課,,,薬学教育係,data
文部科学省,文部科学省,高等教育局,,医学教育課,大学病院支援室,,病院第二係,data
文部科学省,文部科学省,高等教育局,,参事官,,,国際交流係,data
文部科学省,文部科学省,高等教育局,,参事官,,,調整係,data
文部科学省,文部科学省,高等教育局,,参事官,留学生交流室,,国費留学生係,data
文部科学省,文部科学省,高等教育局,,参事官,留学生交流室,,政策調査係,data
文部科学省,文部科学省,高等教育局,,参事官,留学生交流室,,留学交流支援係,data
文部科学省,文部科学省,高等教育局,,参事官,留学生交流室,,私費留学生係,data
文部科学省,文部科学省,高等教育局,,国立大学法人支援課,,,,data
文部科学省,文部科学省,高等教育局,,国立大学法人支援課,,,総括係,data
文部科学省,文部科学省,高等教育局,,大学教育・入試課,,,企画係・放送大学係,data
文部科学省,文部科学省,高等教育局,,大学教育・入試課,,,学務係,data
文部科学省,文部科学省,高等教育局,,大学教育・入試課,大学入試室,,入試第一係,data
文部科学省,文部科学省,高等教育局,,学生支援課,,,厚生係,data
文部科学省,文部科学省,高等教育局,,学生支援課,,,奨学事業係,data
文部科学省,文部科学省,高等教育局,,学生支援課,,,法人係,data
文部科学省,文部科学省,高等教育局,,学生支援課,高等教育修学支援室,,,data
文部科学省,文部科学省,高等教育局,,専門教育課,,,情報教育推進第一係,data
文部科学省,文部科学省,高等教育局,,専門教育課,,,科学・技術教育係,data
文部科学省,文部科学省,高等教育局,,専門教育課,,,高等専門学校第一係,data
文部科学省,文部科学省,高等教育局,,専門教育課,専門職大学院室,,推進係,data
文部科学省,文部科学省,高等教育局,,高等教育企画課,,,,data
文部科学省,文部科学省,高等教育局,,高等教育企画課,高等教育政策室,,,data
文部科学省,文部科学省,高等教育局,,高等教育企画課,高等教育政策室,,企画審議係,data
文部科学省,文部科学省,高等教育局,私学部,私学助成課,,,助成第一係,data
文部科学省,文部科学省,高等教育局,私学部,私学助成課,,,助成第三係,data
文部科学省,文部科学省,高等教育局,私学部,私学助成課,,,助成第二係,data
文部科学省,文部科学省,高等教育局,私学部,私学助成課,,,助成第四係,data
文部科学省,文部科学省,高等教育局,私学部,私学行政課,,,総務係,data
文部科学省,文部科学省,高等教育局,私学部,私学行政課,私学共済室,,共済管理係,data
法務省,公安調査庁,,総務部,総務課,,,予算第一・第二係,data
法務省,法務省,人権擁護局,,人権啓発課,,,人権啓発第一係,data
法務省,法務省,人権擁護局,,人権啓発課,,,人権啓発第二係,data
法務省,法務省,人権擁護局,,総務課,,,委員係,data
法務省,法務省,人権擁護局,,調査救済課,,,調査救済第一係,data
法務省,法務省,保護局,,総務課,,,予算係,data
法務省,法務省,出入国在留管理庁,,総務課,,,調達係,data
法務省,法務省,刑事局,,総務課,,,予算第二係,data
法務省,法務省,大臣官房,,人事課,,,司法試験第一係,data
法務省,法務省,大臣官房,,国際課,,,国際政策第一係,data
法務省,法務省,大臣官房,,国際課,,,国際政策第二係,data
法務省,法務省,大臣官房,,国際課,,,国際政策第四係,data
法務省,法務省,大臣官房,,施設課,,,予算第二係,data
法務省,法務省,大臣官房,,秘書課,企画再犯防止推進室,,,data
法務省,法務省,大臣官房,,秘書課,政策立案・情報管理室,,,data
法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,data
法務省,法務省,大臣官房,司法法制部,司法法制課,,,総合法律支援第一係,data
法務省,法務省,大臣官房,司法法制部,審査監督課,,,債権回収企画係,data
法務省,法務省,大臣官房,司法法制部,審査監督課,,,紛争解決業務認証第二係,data
法務省,法務省,民事局,,総務課,,,予算係,data
法務省,法務省,民事局,,総務課,,,給与係,data
法務省,法務省,民事局,,総務課,登記情報管理室,,管理係,data
法務省,法務省,民事局,,総務課,登記情報管理室,,資金係,data
法務省,法務省,法務総合研究所,総務企画部,総務課,,,経理係,data
法務省,法務省,矯正局,,総務課,,,予算係,data
法務省,法務省,訟務局,,訟務企画課,,,予算係,data
消費者庁,消費者庁,,,参事官(公益通報・協働担当),,,,data
消費者庁,消費者庁,,,参事官(調査研究・国際担当),,,,data
消費者庁,消費者庁,,,取引対策課,,,,data
消費者庁,消費者庁,,,取引対策課,取引デジタルプラットフォーム消費者保護室,,,data
消費者庁,消費者庁,,,地方協力課,,,,data
消費者庁,消費者庁,,,消費者制度課,,,,data
消費者庁,消費者庁,,,消費者安全課,,,,data
消費者庁,消費者庁,,,消費者安全課,事故調査室,,,data
消費者庁,消費者庁,,,消費者政策課,,,,data
消費者庁,消費者庁,,,消費者教育推進課,,,,data
消費者庁,消費者庁,,,表示対策課,,,,data
消費者庁,消費者庁,,,食品衛生基準審査課,,,,data
消費者庁,消費者庁,,,食品表示課,,,,data
環境省,環境省,地球環境局,,国際脱炭素移行推進・環境インフラ担当参事官室,,,,data
環境省,環境省,地球環境局,,国際連携課,,,,data
環境省,環境省,地球環境局,,国際連携課,気候変動国際交渉室,,,data
環境省,環境省,地球環境局,,地球温暖化対策課,,,,data
